,0,1,cluster
749,-21.209812,16.732304,64
750,-34.399323,6.244886,7
751,55.550816,9.689869,9
752,20.128304,-31.118933,6
753,-57.47098,-27.656595,57
754,-2.345365,5.124208,4
755,-34.13245,-46.9453,2
756,-43.209293,21.36573,3
757,-59.990475,-16.929949,30
758,19.084234,-5.476249,18
759,-36.989765,-28.000355,2
760,-33.26784,-2.394033,39
761,-45.013817,-27.89968,2
762,3.4764364,15.652645,4
763,-67.2356,26.920122,3
764,34.760677,42.902576,11
765,25.762035,50.870373,36
766,-6.9590764,-45.095585,1
767,61.13958,-18.773287,5
768,30.971779,23.168304,56
769,18.638288,30.386324,32
770,39.4291,20.97474,9
771,-3.8756785,-26.966627,1
772,14.496034,-31.519342,6
773,-57.684086,-34.765755,2
774,-21.481544,44.71597,31
775,-0.21490365,2.1353536,4
776,35.180332,50.148155,11
777,-44.31055,19.07345,3
778,3.7440283,-13.288217,4
779,41.361687,-30.811247,21
780,4.2064624,-43.591785,1
781,-41.733383,27.407455,3
782,-52.97338,-7.8553553,13
783,35.825203,-33.934948,6
784,8.333211,-3.9850366,4
785,-44.07662,-19.4376,2
786,-5.4998674,35.627964,10
787,25.882069,27.840076,20
788,-24.366196,22.989815,3
789,37.421818,-50.214706,6
790,-3.7124403,-29.44563,1
791,63.474934,1.7692351,62
792,3.7455795,-1.0278211,4
793,-46.598732,41.06082,15
794,6.9602866,-8.530538,59
795,26.878983,1.7488337,12
796,37.773735,-3.1983588,5
797,-21.520308,6.943392,7
798,-28.411615,-34.87723,2
799,-52.531246,0.36236143,13
800,-16.71199,-10.267594,8
801,-9.943475,12.494716,4
802,-2.4886012,24.547686,61
803,59.43677,8.122171,9
804,42.778954,-18.655067,5
805,2.9058776,6.904301,4
806,-4.5345283,-51.904507,1
807,22.670002,36.470837,25
808,61.12019,-3.9741542,70
809,3.6775267,36.684696,40
810,-28.632467,10.402641,7
811,16.084572,-46.503628,1
812,-40.044823,3.410093,7
813,-27.748692,48.085316,68
814,-11.468639,37.587803,10
815,53.66059,0.4525236,9
816,67.11538,-15.904131,52
817,3.3707502,-61.86339,1
818,-33.87619,-17.3687,2
819,54.312263,4.626659,9
